source_id,label,registry_url,expected_filename,access_type,download_status,notes
usdaAH506,"Justice & Bass 1978, Principles and Practices of Seed Storage, USDA Agriculture Handbook 506",https://www.govinfo.gov/content/pkg/GOVPUB-A-PURL-gpo28758/pdf/GOVPUB-A-PURL-gpo28758.pdf,usda_ah506_1978_justice_bass_seed_storage.pdf,open_pdf,ok,6.3 MB full public-domain PDF. Authoritative primary reference for Harrington's rules and their stated validity limits. Cite this rather than secondary extension restatements.
dickieEllis1990,Dickie & Ellis 1990 - Temperature and Seed Storage Longevity,https://doi.org/10.1093/oxfordjournals.aob.a087924,annbot_1990_dickie_ellis_temperature_seed_longevity.pdf,open_pdf,ok,"Annals of Botany 65:197-204. 469 KB PDF, open copy. Supplies the CH / CQ temperature terms of the Ellis-Roberts viability equation. Needed if the Ellis-Roberts engine (SOW Section 4b) is built."
ntuViabilityNotes,National Taiwan University - seed viability equation teaching notes,http://seed.agron.ntu.edu.tw/eng/tech/Eviability.htm,ntu_seed_viability_equation_notes.html,open_html,ok,Compact statement of the Ellis-Roberts equation and its constants. Convenience reference only; defer to Ellis & Roberts 1980 and Dickie & Ellis 1990.
serSid,Society for Ecological Restoration Seed Information Database,https://ser-sid.org/,ser_sid_seed_information_database.html,open_html,manual_needed,"Landing page only (966 bytes - JS-rendered app). The Kew SID viability constants (KE, CW, CH, CQ; ~72 species) are the gating dependency for the Ellis-Roberts engine and must be pulled per-species through the site UI or its API. Not yet obtained."
ellisRoberts1980,Ellis & Roberts 1980 - Improved Equations for the Prediction of Seed Longevity,https://academic.oup.com/aob/article-abstract/45/1/13/169757,annbot_1980_ellis_roberts_improved_equations_longevity.html,paywalled,blocked,Annals of Botany 45(1):13-30. OUP returned HTTP 403 to the polite UA; abstract page not retrievable. This is the origin paper for the viability equation. Needs manual/institutional access. Dickie & Ellis 1990 partially covers the temperature terms.
mdpiSeeds2024,The Effects of Storage Conditions on Seed Deterioration and Ageing,https://doi.org/10.3390/seeds3010005,seeds_2024_storage_conditions_deterioration_ageing_review.pdf,open_pdf,ok,OBTAINED by the user. MDPI Seeds 3(1):5.
knottsHandbook,"Maynard & Hochmuth, Knott's Handbook for Vegetable Growers, 5th ed.",https://www.wiley.com/en-us/Knott%27s+Handbook+for+Vegetable+Growers%2C+5th+Edition-p-9780471731283,,open_pdf,ok,OBTAINED by the user (2012 printing). Upstream source for the G2090 seeds/oz table; can now be used to settle the Tomato and Turnip typos.
harrington1972,"Harrington 1972, Seed Storage and Longevity, in Seed Biology Vol. 3",,,paywalled,manual_needed,"Book chapter (Kozlowski ed., Academic Press). Origin of the moisture and temperature doubling rules. Justice & Bass 1978 (usdaAH506) restates them and is freely available, so cite that in the UI."
astmD3985,ASTM D3985 - Standard Test Method for Oxygen Gas Transmission Rate,https://www.astm.org/d3985-17.html,,paywalled,manual_needed,Standards purchase required. Referenced only if the UI quotes OTR figures for barrier films.
astmF372,ASTM F372 - Standard Test Method for Water Vapor Transmission Rate,https://www.astm.org/f0372-99r03.html,,paywalled,manual_needed,Standards purchase required. Referenced only if the UI quotes WVTR figures for barrier films.
fao2014Standards,"FAO 2014, Genebank Standards for Plant Genetic Resources for Food and Agriculture",https://www.fao.org/4/i3704e/i3704e.pdf,fao_2014_genebank_standards_pgrfa.pdf,open_pdf,ok,"9.6 MB full PDF. THE authoritative definition of ideal storage. Long-term base collection: -18 +/- 3 C at 15 +/- 3 pct RH, hermetically sealed. Medium-term active collection: 5-10 C at 15 +/- 3 pct RH. Drying to equilibrium at 5-20 C and 10-25 pct RH. Note the standard is written in equilibrium RH, NOT moisture content."
faoPracticalGuide,"FAO, Practical guide for the application of the Genebank Standards",https://openknowledge.fao.org/server/api/core/bitstreams/62d6d5d3-f7a3-47f3-abaf-9d2d5e230e51/content,fao_2022_practical_guide_genebank_standards.pdf,open_pdf,ok,3.7 MB PDF. Operational companion to the 2014 standards.
groot2025Oxygen,Groot et al. 2025 - Modelling the quantitative effect of oxygen on the ageing of primed celery seeds,https://doi.org/10.1111/tpj.70066,tpj_2025_groot_modelling_oxygen_ageing_primed_celery.html,open_html,ok,"The Plant Journal 2025. PMC12005833 free full text used because Wiley returned 403. THE source for the oxygen multiplier. 96 treatment combinations: 4 temps (5/13/20/30 C) x 4 RH (16/33/43/60 pct) x 6 O2 levels (1/5.2/10/21/50/99 pct), up to 7 years. Log-log linear O2 vs p50. Each halving of O2 gives about +72 pct longevity, INDEPENDENT OF TEMPERATURE. Below 1 pct O2 gives about 11x shelf life. Effect diminishes at 60 pct RH and is absent at 60 pct RH plus 30 C."
ssrRiceHypoxic,Rice seed longevity in the context of seed moisture contents and hypoxic conditions,https://www.cambridge.org/core/journals/seed-science-research/article/rice-seed-longevity-in-the-context-of-seed-moisture-contents-and-hypoxic-conditions-in-the-storage-environment/40FB24BB1A2F46B8BE1AA3ED35BE8E35,ssr_rice_seed_longevity_moisture_hypoxic_storage.html,open_html,ok,Seed Science Research. Second species line of evidence for the moisture-by-oxygen interaction.
whitehouse2018Drying,Whitehouse et al. 2018 - Genebank standards for drying orthodox seeds may not be optimal,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6204563/,pmc6204563_genebank_drying_standards_may_not_be_optimal.html,open_html,ok,"Biopreserv Biobank 16(5):327-336. Full text. Initial high-temperature drying (40-60 C) of freshly harvested seed improves subsequent longevity versus the standard 5-20 C protocol. Evidence that pre-storage history sets a baseline the tool cannot observe. Relevant to K_i, not to the storage multipliers."
solberg2020Review,Solberg et al. 2020 - Long-Term Storage and Longevity of Orthodox Seeds: A Systematic Review,https://doi.org/10.3389/fpls.2020.01007,frontiers_2020_longterm_storage_longevity_orthodox_review.html,open_html,ok,"Front Plant Sci 11:1007. Open access full text. Systematic review. States the abiotic factors of greatest importance are HUMIDITY, TEMPERATURE and OXYGEN - light is not among them. Also carries species P50 rankings (long-lived versus short-lived) usable for baseline longevity tiers."
pubmedLongevityFramework,Seed Longevity - The Evolution of Knowledge and a Conceptual Framework,https://pubmed.ncbi.nlm.nih.gov/36771556/,pubmed_2023_seed_longevity_conceptual_framework.html,abstract_only,ok,PubMed abstract only. Framing reference.
nrcsTxSeedsPerLb,"NRCS Texas Technical Note TX-PM-12-02, Calculating Seeding Rates for Conservation Plantings",https://www.nrcs.usda.gov/plantmaterials/etpmctn10736.pdf,nrcs_tx_pm_12_02_seeds_per_pound_conservation_species.pdf,open_pdf,ok,"Seeds per pound of pure seed for 130 conservation species (100 grasses, 26 legumes, 4 forbs). Extracted to nrcs_tx_seeds_per_pound.csv using pdftotext -table. NOTE: -layout mode misaligns this table by two rows and must NOT be used. Uses older synonyms (Andropogon scoparius = Schizachyrium scoparium; Petalostemon = Dalea)."
nrcsPureLiveSeed,NRCS Pure Live Seed calculations technical guidance,https://efotg.sc.egov.usda.gov/references/Delete/2006-12-9/PureLiveSeedCalculations_TGNotice_557.pdf,nrcs_pure_live_seed_calculations.pdf,open_pdf,ok,PLS = (pct germination + pct hard seed) x pct purity / 100. Directly relevant if the tool adds a viable-seed-count mode.
nrcsOrNativeSeedPnw,NRCS Native Seed Production Manual for the Pacific Northwest,https://www.nrcs.usda.gov/plantmaterials/orpmcpu12766.pdf,nrcs_or_native_seed_production_manual_pnw.pdf,open_pdf,ok,13 MB. Not yet mined; likely contains additional PNW native seeds/lb tables.
nrcsMtTechNote,NRCS Montana plant materials technical note,https://www.nrcs.usda.gov/plantmaterials/mtpmctn13828.pdf,nrcs_mt_pmctn13828_seed_technical_note.pdf,open_pdf,ok,Not yet mined.
nrcsLaTechNote,NRCS Louisiana plant materials technical notes,https://www.nrcs.usda.gov/plantmaterials/lapmctn9045.pdf,nrcs_la_pmctn9045_technical_notes.pdf,open_pdf,ok,Not yet mined.
figshareTsw,"Toro-Szijgyarto et al. 2022, Thousand-seed weight data from Central Europe",https://figshare.com/articles/dataset/Thousand-seed_weight_data_from_Central_Europe/21739616,figshare_2022_thousand_seed_weight_central_europe.xlsx,open_data,ok,"Open figshare dataset, 283 taxa with measured thousand-seed weight in grams (minimum 3 x 100 intact seeds each). Converted to seeds/g, seeds/oz and seeds/lb in figshare_thousand_seed_weight_counts.csv. CAUTION on woody species: its Acer saccharinum value (8,206/lb) disagrees 4.6x with the Woody Plant Seed Manual (1,780/lb) and falls outside the WPSM range of 900-3,200/lb. An earlier note here claimed agreement with WPSM at ~7,900/lb; that figure was never verified and was wrong. Prefer WPSM for trees and shrubs."
pmcTswPaper,New thousand-seed weight dataset for plant species of Central Europe,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10090202/,pmc10090202_thousand_seed_weight_dataset_central_europe.html,open_html,ok,Data paper describing the figshare dataset above. Documents the measurement protocol.
bissKewSid,Royal Botanic Gardens Kew Seed Information Database (SID) description paper,https://biss.pensoft.net/article/37030/,biss_2019_kew_sid_seed_information_database.html,open_html,ok,Documents SID contents: 52564 taxa; seed weights 86287 records; storage behaviour 24926; germination 54453; VIABILITY CONSTANTS only 72. Confirms the Ellis-Roberts constants are the scarce resource.
dataoneKewSid,DataONE catalog entry for Kew SID,https://search.dataone.org/view/farshid25.38.1,dataone_kew_sid_catalog.html,open_html,ok,Catalog metadata only.
rngrWpsmIndex,Woody Plant Seed Manual index (Reforestation Nurseries and Genetic Resources),https://rngr.net/publications/wpsm,rngr_wpsm_index.html,open_html,ok,"HARVESTED. Genus chapters are served as 25 letter-grouped PDFs at /publications/wpsm/genera/<a-z>/at_download/file (no X). 71 MB cached under sources/wpsm/. Extracted to wpsm_woody_seeds_per_weight.csv: 479 species across 79 of 236 genera, 474 table-derived and 5 prose-derived. Requires ALL THREE pdftotext modes - -table for most, -layout for row-major tables it mangles, and -raw as the only mode that linearises the column-major tables (Picea, Fraxinus). The Pinus chapter reports 'Clean seeds (x1,000)/wt' so its figures are thousands. Every row validated against the kg:lb = 2.2046 invariant, zero failures. Remaining gaps: Liquidambar, Populus and Laburnum bind counts to common names rather than binomials and are dropped rather than mis-attributed."
usfsWpsmFront,Woody Plant Seed Manual front matter,https://www.fs.usda.gov/nsl/Wpsm%202008/Front%20matter.pdf,usfs_wpsm_front_matter.pdf,open_pdf,ok,Front matter only.
rngrTtsmCh3,"Tropical Tree Seed Manual, Ch. 3 Seed Storage",https://rngr.net/publications/ttsm/ch3/at_download/file,rngr_ttsm_ch3_seed_storage.pdf,open_pdf,ok,Tropical species storage behaviour; useful for the recalcitrant and intermediate gate.
kewSidLegacy,Kew SID legacy portal,http://data.kew.org/sid/,kew_sid_landing.html,broken_link,blocked,"HTTP 404 - the legacy data.kew.org/sid portal is dead. SID content migrated to ser-sid.org, which is a JS application and not retrievable by plain HTTP. The 72 viability constants remain UNOBTAINED."
deVitis2020,De Vitis et al. 2020 - Seed storage: maintaining seed viability and vigor for restoration use,https://doi.org/10.1111/rec.13174,restecol_2020_devitis_seed_storage_viability_vigor.html,open_pdf,ok,OBTAINED by the user. Restoration Ecology 2020.
groot2014Oxygen,Groot et al. - Preventing seed quality loss during storage: the role of oxygen is underestimated,https://www.researchgate.net/publication/267757296_Preventing_seed_quality_loss_during_storage_The_role_of_oxygen_is_underestimated,groot_2014_oxygen_underestimated_seed_quality_loss.html,paywalled,blocked,"ResearchGate returned HTTP 403. Superseded for quantitative purposes by groot2025Oxygen, which was obtained."
seedSaversGuide,Seed Savers Exchange seed storage guide,https://www.seedsavers.org/seed-storage-guide,sse_seed_storage_guide.html,open_html,blocked,HTTP 404 - URL has moved. Low priority; duplicates Johnny's coverage.
ipgriCompendium1996,"Hong, Linington & Ellis 1996 - Seed Storage Behaviour: a Compendium (IPGRI Handbooks for Genebanks No. 4)",https://cgspace.cgiar.org/items/9148afd5-2def-4ae8-bb01-567eaff5c538,ipgri_1996_hong_seed_storage_behaviour_compendium.pdf,open_pdf,ok,"ISBN 92-9043-280-2. 2.1 MB full PDF via CGSpace bitstream. RESOLVES THE VIABILITY-CONSTANTS GAP. Appendix I (printed pp. 43-47, PDF pages 54-58) tabulates KE, CW, CH, CQ for 70 species/cultivar rows across 23 families, plus precomputed longevity at -20 C/5 percent MC and at 15 C/15 percent RH. Extracted to kew_viability_constants_appendix1.csv with pdftotext -table (NOT -layout, which scrambles the columns). Also classifies storage behaviour for ~7000 species from 251 families - the basis for the orthodox/intermediate/recalcitrant gate."
hayViabilityEquations,"Hay, F. - The Seed Viability Equations (RBG Kew)",http://data.kew.org/sid/viability/SeedViabilityEquationsFHDec04.pdf,SeedViabilityEquationsFHDec04.pdf,open_pdf,ok,"Supplied by the user. Full derivation of v = Ki - p/sigma and log10 sigma = KE - CW log10 m - CH t - CQ t^2. States CH and CQ take UNIVERSAL values 0.0329 and 0.000478 (Dickie et al. 1990), valid at least -30 to +90 C. Contains two fully worked examples (lettuce and barley at -20 C) that reproduce to the day and are used as regression anchors in viability_equation_anchors.csv."
ellis1991Longevity,"Ellis, R.H. 1991 - The Longevity of Seeds. HortScience 26(9):1119",,LONGEVITYseeds.pdf,open_pdf,ok,Supplied by the user. Review of orthodox vs recalcitrant behaviour and the viability equation. Notes that Dickie et al. 1990 provided constants for eight diverse species.
ellis2022SST,"Ellis, R.H. 2022 - Seed ageing, survival and the improved seed viability equation; forty years on",https://doi.org/10.15258/sst.2022.50.1.s.01,1_sst.2022.50.1.s_1-20.pdf,open_pdf,ok,"Supplied by the user; CC BY-NC open access via CentAUR. Seed Sci Technol 50(Suppl.1):1-20. Confirms the temperature response is invariant among contrasting species and that the equation holds from -13 to +90 C. IMPORTANT: quotes the ORIGINAL Ellis & Roberts 1980b barley parameterisation (KE 9.983, CW 5.896, CH 0.040, CQ 0.000428), which is NOT interchangeable with the universal-CH/CQ set - see numeric_audit.csv."
seedscisocSidNotice,International Society for Seed Science - notice on the SID takedown,https://web.archive.org/web/20221003214805/https://seedscisoc.org/important-notice-regarding-the-seed-information-database/,,open_html,ok,Supplied by the user. Confirms the SID web interface was retired March 2022; data continues as flat files on Kew's FTP and via the TRY Plant Trait Database. Explains why data.kew.org/sid 404s.
kewSftpRepos,RBG Kew SFTP data repositories,https://sftp.kew.org/pub/data-repositories/,,open_html,ok,"Live directory listing (DwCA, IPNI, WCVP, grassbase, mpns, sepasal and others). Checked for a SID subdirectory: none present under /pub/data-repositories/ or /pub/. The SID flat files referenced by the takedown notice are not exposed at this path."
tryDatabase,TRY Plant Trait Database,https://www.try-db.org/TryWeb/Home.php,,registration_required,manual_needed,"Suggested by the user. Carries much of SID's seed functional-trait data and supports bulk download, but requires an account and a data request. Now a lower priority for viability constants (ipgriCompendium1996 supplied 70 rows) but remains the best route to seed WEIGHT data at scale (SID held 86287 seed-weight records)."
demir2009Pepper,"Demir et al. 2009 - Derivation of constants (KE, CW) for the viability equation for pepper seeds",https://doi.org/10.21273/HORTSCI.44.6.1679,hortscience_2009_demir_pepper_viability_constants.pdf,open_pdf,ok,"OBTAINED by the user from the ASHS gold-OA endpoint that refused automated clients. HortScience 44(6):1679-1682. Capsicum annuum cv. Demre: KE 7.767, CW 4.670 with the universal CH/CQ. Confirms the values previously carried as unverified_secondary, which were correct."
demir2011Cucurbits,"Demir et al. 2011 - Determination of seed moisture constants (KE, CW) for watermelon, melon and cucumber",https://doi.org/10.15258/sst.2011.39.2.23,sst_2011_demir_watermelon_melon_cucumber_constants.html,open_pdf,ok,"OBTAINED by the user. Seed Sci Technol 39:527-532. KE/CW: watermelon 4.86/1.59, melon 6.11/2.59, cucumber 5.35/2.03, all with the universal CH/CQ. Hermetic foil packets at 35 C. NOTE the melon values conflict with the Kew appendix row (Kuo 1991) - see numeric_audit."
kraakVos1987,Kraak & Vos 1987 - Seed viability constants for lettuce,https://doi.org/10.1093/oxfordjournals.aob.a087324,annbot_1987_kraak_vos_lettuce_viability_constants.html,paywalled,blocked,"Annals of Botany 59:343-349. OUP 403. Not critical: its lettuce values (KE 6.895, CW 4.2) are reproduced in both the compendium appendix and Hay's worked examples."
cgspaceCompendium1998,"Hong, Linington & Ellis 1998 - Compendium of information on seed storage behaviour, Vols 1-2",https://cgspace.cgiar.org/items/843236ec-eb72-4cca-ba41-90845f23333f,,open_pdf,ok,"VOLUME 2 (I-Z) OBTAINED by the user, 37 MB OCR scan. ISBN for vol 2 alone is 1-900347-48-2; the two-volume set is 1-900347-49-0. Extracted to kew_1998_storage_behaviour_vol2.csv: 3199 species with sourced orthodox/intermediate/recalcitrant classification plus 324 thousand-seed weights. VOLUME 1 (A-H families) IS STILL NEEDED - it holds Gramineae, Cruciferae, Compositae, Cucurbitaceae, Chenopodiaceae, Fagaceae, Dipterocarpaceae and Euphorbiaceae, i.e. the cereals, brassicas, cucurbits AND the oak/rubber/dipterocarp recalcitrants."
yildirim2021Vacuum,"Yildirim, Ozturk & Demir 2021 - Vacuum Versus Open Air Storage for Pepper Seed Longevity Over 48 Months",https://doi.org/10.16882/HortiS.998078,hortis_pepper_vacuum_vs_open_air_storage.pdf,open_pdf,ok,"HortiS 38(2):110-115, retrieved via DergiPark. DIRECTLY ANSWERS THE VACUUM-JAR QUESTION at realistic home-storage conditions: 4 pepper cultivars, vacuum-sealed vs perforated cheesecloth, 13 C / 35 percent RH, 48 months, seed MC 7.1-7.6 percent. Vacuum was significantly better for ALL cultivars at 48 months but the difference was NOT significant before 36 months (except cv. Yaglik from 24 months). Oil and reducing-sugar loss were both faster in open air. Also gives an eRH-to-MC anchor: pepper equilibrates to about 7.1-7.3 percent MC at 35-50 percent RH and 13-17 C."
demir2009Pepper2,Demir et al. 2009 pepper constants - open-access PDF endpoint,https://journals.ashs.org/downloadpdf/journals/hortsci/44/6/article-p1679.pdf,hortscience_2009_demir_pepper_viability_constants.pdf,open_pdf,ok,"OBTAINED by the user from the ASHS gold-OA endpoint that refused automated clients. HortScience 44(6):1679-1682. Capsicum annuum cv. Demre: KE 7.767, CW 4.670 with the universal CH/CQ. Confirms the values previously carried as unverified_secondary, which were correct."
ellisBaumLentil,"Estimation of seed viability constants (KE, CW) for lentil (Lens culinaris)",https://doi.org/10.15258/sst.2022.50.1.09,sst_2022_lentil_viability_constants.pdf,open_pdf,ok,"OBTAINED by the user. Actually Whitehouse & Norton 2022, Seed Sci Technol 50:103-115. Lentil KE 8.0008, CW 3.746 with universal CH/CQ; authors validated against two further accessions, R2 0.912."
nbhaOrganicPepper,Longevity of organic pepper (Capsicum annuum L.) seeds,https://www.notulaebotanicae.ro/index.php/nbha/article/view/12009,nbha_2020_organic_pepper_seed_longevity.pdf,open_html,blocked,Notulae Botanicae Horti Agrobotanici Cluj-Napoca. Direct download URL returned 403. Would corroborate the pepper longevity picture; not critical.
